Date,AIA Asset Management,AIA Phillippines,ATR Asset Management,AXA Investment,AXA Life,Allianz PNB Life Insurance,BPI Asset Management,BPI-AIA,Cocolife,FWD Life,Generali Philippines,Insular Life (InLife),Manulife,Manulife Investment Management,Pru Life,Singlife Philippines,Sun Life Grepa,Sun Life Investment,Sunlife
Oct-01-2024,0,1,7,1,0,0,0,2,0,0,0,6,14,0,4,0,6,0,15
Oct-02-2024,0,3,5,0,0,2,0,0,0,6,0,1,1,0,2,0,3,0,6
Oct-03-2024,0,1,2,0,0,3,0,0,0,2,0,2,1,0,3,0,2,2,3
Oct-04-2024,0,2,1,0,0,0,0,0,0,2,0,1,0,0,6,0,0,1,9
Oct-05-2024,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,7
Oct-06-2024,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,5
Oct-07-2024,0,1,2,0,0,0,0,0,0,0,0,2,0,1,1,0,9,1,4
Oct-08-2024,0,0,5,0,0,0,0,0,4,1,0,0,1,0,9,0,3,0,1
Oct-09-2024,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8,0,2,0,5
Oct-10-2024,0,0,1,0,4,0,2,0,0,0,0,1,0,1,4,0,1,0,1
Oct-11-2024,0,0,0,0,1,3,0,0,0,0,0,0,0,0,5,0,4,0,9
Oct-12-2024,0,0,0,0,0,5,1,0,0,0,1,0,0,0,1,0,2,0,3
Oct-13-2024,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,3
Oct-14-2024,0,1,3,1,0,4,0,0,0,0,0,0,6,0,8,0,2,8,0
Oct-15-2024,0,0,2,0,0,2,0,0,0,1,0,0,3,0,11,0,0,0,2
Oct-16-2024,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,0,7,0,0
Oct-17-2024,1,0,4,0,0,0,0,6,2,0,0,0,1,0,4,0,5,1,9
Oct-18-2024,1,4,1,1,0,0,0,1,3,0,0,0,0,0,3,0,1,0,5
Oct-19-2024,0,6,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
Oct-20-2024,0,0,1,0,0,0,2,0,0,0,0,0,2,0,5,0,4,0,0
Oct-21-2024,0,0,1,0,0,0,3,2,0,0,0,0,3,1,2,0,1,0,1
Oct-22-2024,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,1,0,12
Oct-23-2024,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16
Oct-24-2024,0,0,0,1,0,0,0,0,1,0,0,1,4,1,0,1,1,0,11
Oct-25-2024,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,17
Oct-26-2024,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,6
Oct-27-2024,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
Oct-28-2024,0,3,2,0,0,4,0,0,0,0,0,0,0,2,3,3,1,0,13
Oct-29-2024,0,4,5,0,1,0,0,1,0,0,0,0,0,0,2,0,2,2,6
Oct-30-2024,0,8,13,0,1,0,0,2,0,4,0,0,0,4,1,0,5,8,5
Oct-31-2024,0,10,22,0,6,0,0,1,0,3,0,1,6,3,4,0,4,6,8
